Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,HT_Wins,AT_Wins,HT_Loss,AT_Loss,HT_Draws,AT_Draws,MW,HomeTeamLP,AwayTeamLP,Sezon,HT_LP,AT_LP,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,HTDrawStreak3,HTDrawStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,ATDrawStreak3,ATDrawStreak5,HTGD,ATGD,DiffPts,DiffFormPts,DiffLP,H2H_Home,H2H_Away,H2H_Home_pts,H2H_Away_pts,temp,Off_H,Off_A,Deff_H,Deff_A,Mean_home_goals,Mean_away_goals
2019-05-12,Ath Bilbao,Celta,,,,36.0,49.0,40.0,56.0,51,40,D,D,W,L,W,W,D,D,W,L,12,10,9,16,15,10,37,16.0,13.0,19,7,15,DDWLW,WDDWL,8.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,-4.0,-7.0,11,0.0,3.0,LDW,WDL,4,4,379,1.3013698630136987,1.0,1.0,1.0,2.0,1.1368421052631579
2019-05-12,Ath Madrid,Sevilla,,,,51.0,55.0,25.0,45.0,74,55,L,W,W,W,W,L,L,W,L,W,22,16,6,13,8,7,37,2.0,7.0,19,2,5,LWWWW,LLWLW,12.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0,26.0,10.0,19,6.0,-5.0,WWD,LLD,7,1,379,1.1712328767123288,1.0,1.0,1.0,1.7999999999999998,1.1368421052631579
2019-05-12,Barcelona,Getafe,,,,83.0,44.0,34.0,29.0,83,56,L,W,W,W,D,D,L,D,W,D,25,14,3,8,8,14,37,1.0,8.0,19,1,4,LWWWD,DLDWD,10.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,15.0,27,4.0,-7.0,WDW,LDL,7,1,379,1.3013698630136987,1.0,1.0,1.0,2.0,1.1368421052631579
2019-05-12,Betis,Huesca,,,,40.0,36.0,47.0,55.0,45,31,D,D,L,L,L,D,D,W,D,D,12,6,15,17,9,13,37,6.0,16.0,19,12,19,DDLLL,DDWDD,2.0,7.0,0,0,1,0,0,0,0,0,0,0,0,0,-7.0,-19.0,14,-5.0,-10.0,L,W,0,3,379,0.8133561643835617,1.0,1.0,1.0,1.25,1.1368421052631579
2019-05-12,Girona,Levante,,,,35.0,52.0,47.0,63.0,38,40,D,W,L,L,L,W,L,W,D,L,9,10,16,16,11,10,37,10.0,15.0,19,17,16,DWLLL,WLWDL,4.0,7.0,0,0,1,0,0,0,0,0,0,0,0,0,-12.0,-11.0,-2,-3.0,-5.0,WDD,LDD,5,2,379,0.6506849315068494,1.0,1.0,1.0,1.0,1.1368421052631579
2019-05-12,Vallecano,Valladolid,,,,37.0,29.0,62.0,48.0,31,36,L,W,L,D,L,D,L,W,D,D,8,8,21,16,7,12,37,16.0,16.0,19,20,18,LWLDL,DLWDD,4.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,-25.0,-19.0,-5,-2.0,0.0,LDW,WDL,4,4,379,0.6506849315068494,1.0,1.0,1.0,1.0,1.1368421052631579
2019-05-12,Valencia,Alaves,,,,39.0,36.0,31.0,43.0,53,47,D,L,L,W,W,L,D,L,D,L,12,12,7,13,17,11,37,4.0,14.0,19,6,10,DLLWW,LDLDL,7.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,-7.0,6,5.0,-10.0,WWL,LLW,6,3,379,0.8133561643835617,1.0,1.0,1.0,1.25,1.1368421052631579
2019-05-12,Villarreal,Eibar,,,,43.0,42.0,45.0,45.0,41,44,D,D,W,W,W,D,W,L,L,D,9,10,13,12,14,14,37,5.0,9.0,19,14,13,DDWWW,DWLLD,11.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,-2.0,-3.0,-3,6.0,-4.0,WLD,LWD,4,4,379,1.6267123287671235,1.0,1.1160714285714284,1.0,2.5,1.2687969924812028
2019-05-12,Leganes,Espanol,,,,35.0,43.0,37.0,49.0,45,47,W,D,L,L,D,W,D,D,D,W,11,12,13,13,12,11,37,17.0,11.0,19,11,9,WDLLD,WDDDW,5.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,-6.0,-2,-4.0,6.0,WWL,LLW,6,3,379,0.26027397260273977,1.0,1.0,1.0,0.4,1.1368421052631579
2019-05-12,Sociedad,Real Madrid,,,,40.0,57.0,42.0,39.0,47,66,W,W,L,L,D,D,L,D,W,D,12,20,13,10,11,6,37,12.0,3.0,19,8,3,WWLLD,DLDWD,7.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,-2.0,18.0,-19,1.0,9.0,LLW,WWL,3,6,379,0.7808219178082192,1.0,1.0,1.0,1.2,1.1368421052631579
